id,title,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,year,title_year,budget,revenue,runtime,vote_average,popularity,vote_count
109,Headless Body in Topless Bar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Headless Body in Topless Bar', '1995')",0,0,110.0,0.0,0.001346,0
110,Braveheart,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1995,"('Braveheart', '1995')",72000000,210000000,177.0,7.7,20.755149,3404
111,Taxi Driver,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1976,"('Taxi Driver', '1976')",1300000,28262574,114.0,8.1,14.092713,2632
112,Rumble in the Bronx,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Rumble in the Bronx', '1995')",7500000,32392047,91.0,6.5,12.314278,245
113,Before and After,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1996,"('Before and After', '1996')",35000000,0,108.0,5.8,2.938293,37
114,Margaret's Museum,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"(""Margaret's Museum"", '1995')",0,0,114.0,7.5,0.372697,2
115,Happiness Is in the Field,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Happiness Is in the Field', '1995')",13365000,0,106.0,7.0,1.254885,23
116,Anne Frank Remembered,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,"('Anne Frank Remembered', '1995')",0,1,117.0,7.3,0.243986,4
117,"Young Poisoner's Handbook, The",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,"(""Young Poisoner's Handbook, The"", '1995')",,,,,,
118,If Lucy Fell,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1996,"('If Lucy Fell', '1996')",0,0,92.0,5.4,2.891918,11
119,"Steal Big, Steal Little",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Steal Big, Steal Little', '1995')",,,,,,
120,Race the Sun,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,"('Race the Sun', '1996')",0,0,100.0,5.2,1.317878,21
121,"Boys of St. Vincent, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,"('Boys of St. Vincent, The', '1993')",,,,,,
122,Boomerang,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1992,"('Boomerang', '1992')",40000000,70100000,117.0,5.4,6.506983,139
123,Chungking Express,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1994,"('Chungking Express', '1994')",0,0,102.0,7.9,6.778979,249
124,"Star Maker, The (Uomo delle stelle, L')",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"(""Star Maker, The (Uomo delle stelle, L')"", '1995')",,,,,,
125,Flirting With Disaster,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Flirting With Disaster', '1996')",,,,,,
126,"NeverEnding Story III, The",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1994,"('NeverEnding Story III, The', '1994')",,,,,,
127,"Silence of the Palace, The (Saimt el Qusur)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,"('Silence of the Palace, The (Saimt el Qusur)', '1994')",,,,,,
128,Jupiter's Wife,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1994,"(""Jupiter's Wife"", '1994')",,,,,,
129,Pie in the Sky,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,"('Pie in the Sky', '1995')",,,,,,
130,Angela,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Angela', '1995')",0,0,99.0,5.6,2.197439,9
131,Frankie Starlight,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,"('Frankie Starlight', '1995')",0,0,101.0,5.4,0.637554,4
132,Jade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,"('Jade', '1995')",50000000,9851610,95.0,5.1,11.418917,45
133,Nueba Yol,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Nueba Yol', '1995')",,,,,,
134,Sonic Outlaws,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,"('Sonic Outlaws', '1995')",,,,,,
135,Down Periscope,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Down Periscope', '1996')",0,0,92.0,5.6,5.184977,110
136,From the Journals of Jean Seberg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,"('From the Journals of Jean Seberg', '1995')",0,0,97.0,6.5,0.276401,2
137,Man of the Year,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,"('Man of the Year', '1995')",,,,,,
138,"Neon Bible, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Neon Bible, The', '1995')",,,,,,
139,Target,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Target', '1995')",0,0,122.0,0.0,0.001205,0
140,Up Close and Personal,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1996,"('Up Close and Personal', '1996')",,,,,,
141,"Birdcage, The",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Birdcage, The', '1996')",,,,,,
142,Shadows (Cienie),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1988,"('Shadows (Cienie)', '1988')",,,,,,
143,Gospa,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Gospa', '1995')",,,,,,
144,"Brothers McMullen, The",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Brothers McMullen, The', '1995')",,,,,,
145,Bad Boys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Bad Boys', '1995')",19000000,141407024,118.0,6.5,9.262184,1729
146,"Amazing Panda Adventure, The",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Amazing Panda Adventure, The', '1995')",,,,,,
147,"Basketball Diaries, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Basketball Diaries, The', '1995')",,,,,,
148,"Awfully Big Adventure, An",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Awfully Big Adventure, An', '1995')",,,,,,
149,Amateur,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1994,"('Amateur', '1994')",0,0,105.0,6.5,1.759012,21
150,Apollo 13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Apollo 13', '1995')",52000000,355237933,140.0,7.3,18.761467,1637
151,Rob Roy,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1995,"('Rob Roy', '1995')",28000000,31596911,139.0,6.5,10.193549,151
152,"Addiction, The",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1995,"('Addiction, The', '1995')",,,,,,
153,Batman Forever,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Batman Forever', '1995')",100000000,336529144,121.0,5.2,13.321354,1529
154,Belle de jour,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1967,"('Belle de jour', '1967')",,,,,,
155,Beyond Rangoon,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1995,"('Beyond Rangoon', '1995')",0,0,100.0,6.4,2.04189,21
156,Blue in the Face,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Blue in the Face', '1995')",2000000,1275000,83.0,6.8,11.528147,28
157,Canadian Bacon,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1994,"('Canadian Bacon', '1994')",,,,,,
158,Casper,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Casper', '1995')",,,,,,
159,Clockers,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Clockers', '1995')",25000000,13071518,128.0,6.8,4.558992,69
160,Congo,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1995,"('Congo', '1995')",50000000,152022101,109.0,5.0,7.260574,214
161,Crimson Tide,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1995,"('Crimson Tide', '1995')",53000000,157387195,116.0,7.0,8.657365,508
162,Crumb,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1994,"('Crumb', '1994')",0,3174695,119.0,7.6,3.620388,71
163,Desperado,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1995,"('Desperado', '1995')",7000000,25405445,104.0,6.8,6.950458,898
164,Devil in a Blue Dress,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1995,"('Devil in a Blue Dress', '1995')",27000000,16140822,102.0,6.3,4.646132,88
165,Die Hard: With a Vengeance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,"('Die Hard: With a Vengeance', '1995')",90000000,366101666,128.0,6.9,15.138855,2094
166,"Doom Generation, The",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Doom Generation, The', '1995')",,,,,,
167,Feast of July,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Feast of July', '1995')",0,0,116.0,0.0,0.523575,0
168,First Knight,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,"('First Knight', '1995')",55000000,127600435,134.0,5.9,15.178338,319
169,Free Willy 2: The Adventure Home,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Free Willy 2: The Adventure Home', '1995')",,,,,,
170,Hackers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,"('Hackers', '1995')",20000000,7563728,107.0,6.2,14.810519,406
171,Jeffrey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Jeffrey', '1995')",,,,,,
172,Johnny Mnemonic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1995,"('Johnny Mnemonic', '1995')",25000000,19075720,97.0,5.5,11.715868,380
